Buy,Sell,Value
38,23,894.67
38,24,1280.67
38,25,2078.62
38,26,2360.28
38,27,1926.00
38,28,2164.90
38,29,1914.43
38,30,2734.89
38,31,3051.39
38,32,3137.14
38,33,3646.55
38,34,3263.26
38,35,3257.08
38,36,3437.77
38,37,3514.26
39,0,2101.34
39,1,2101.34
39,2,2101.34
39,3,2101.34
39,4,2101.34
39,5,1973.87
39,6,1527.56
39,7,1738.52
39,8,928.54
39,9,881.57
39,10,490.53
39,11,504.92
39,12,769.49
39,13,559.19
39,14,1577.61
39,15,1350.21
39,16,889.99
39,17,1051.38
39,18,1322.25
39,19,1659.07
39,20,868.94
39,21,788.08
39,22,735.77
39,23,1247.00
39,24,1771.03
39,25,2502.08
39,26,2801.81
39,27,2305.20
39,28,2575.52
39,29,2299.85
39,30,3240.60
39,31,3601.50
39,32,3698.15
39,33,4058.51
39,34,3636.21
39,35,3627.89
39,36,3825.13
39,37,3743.15
39,38,2065.82
40,0,2101.34
40,1,2101.34
40,2,2101.34
40,3,2101.34
40,4,2101.34
40,5,2055.90
40,6,1602.39
40,7,1819.65
40,8,985.29
40,9,936.82
40,10,534.04
40,11,592.72
40,12,821.73
40,13,604.85
40,14,1658.84
40,15,1204.25
40,16,773.14
40,17,924.86
40,18,1179.10
40,19,1494.83
40,20,752.09
40,21,675.32
40,22,626.13
40,23,1104.21
40,24,1594.39
40,25,2281.63
40,26,2563.62
40,27,2242.75
40,28,2507.93
40,29,2508.86
40,30,3376.12
40,31,3804.63
40,32,3905.81
40,33,4358.35
40,34,3906.99
40,35,3896.99
40,36,4106.34
40,37,4901.93
40,38,2981.95
40,39,2925.80
41,0,2318.20
41,1,2318.20
41,2,2318.20
41,3,2318.20
41,4,2318.20
41,5,2269.58
41,6,1784.25
41,7,2016.75
41,8,1529.95
41,9,1467.86
41,10,951.98
41,11,728.41
41,12,978.50
41,13,741.65
41,14,1892.67
41,15,1399.33
41,16,739.43
41,17,888.70
41,18,1139.21
41,19,1450.11
41,20,1149.14
41,21,1278.96
41,22,1345.35
41,23,2040.80
41,24,2375.20
41,25,2985.15
41,26,3330.27
41,27,2918.91
41,28,3240.76
41,29,2727.50
41,30,3654.97
41,31,3462.87
41,32,3504.73
41,33,3853.39
41,34,3462.47
41,35,3454.69
41,36,3645.18
41,37,4498.10
41,38,2972.49
41,39,2925.23
41,40,1968.28
42,0,2318.20
42,1,2318.20
42,2,2318.20
42,3,2318.20
42,4,2318.20
42,5,2118.26
42,6,1655.54
42,7,1877.21
42,8,1413.10
42,9,1354.11
42,10,862.27
42,11,649.28
42,12,870.30
42,13,647.56
42,14,1735.15
42,15,1065.96
42,16,604.68
42,17,734.01
42,18,963.75
42,19,1248.72
42,20,1477.50
42,21,1639.34
42,22,1717.13
42,23,2524.21
42,24,2910.60
42,25,3624.63
42,26,4205.47
42,27,3706.33
42,28,4093.28
42,29,3475.76
42,30,4274.87
42,31,5280.14
42,32,5338.99
42,33,5372.16
42,34,5237.47
42,35,5022.46
42,36,5282.42
42,37,7803.62
